asset_id,asset_name,asset_type,business_unit,environment,owner,criticality,criticality_score,internet_exposed,operating_system,last_seen
AST-00001,Customer Support-CloudVM-1,Database,HR,Production,owner7@example.com,MEDIUM,45,False,Windows 11,2026-08-08T07:33:38.249549
AST-00002,Finance-Desktop-2,Database,HR,Development,owner39@example.com,MEDIUM,45,True,Windows Server 2022,2026-08-08T05:42:38.249549
AST-00003,Operations-Application-3,Database,Sales,Development,owner18@example.com,HIGH,70,False,Windows 10,2026-07-31T14:52:38.249549
AST-00004,Customer Support-Application-4,Container,Engineering,Production,owner14@example.com,HIGH,70,False,RHEL 8,2026-08-06T18:47:38.249549
AST-00005,Finance-Container-5,Container,Operations,Staging,owner3@example.com,LOW,20,False,Windows 11,2026-08-04T06:38:38.249549
AST-00006,Finance-CloudVM-6,Container,Operations,Production,owner5@example.com,CRITICAL,95,True,Windows Server 2022,2026-08-04T07:01:38.249549
AST-00007,Legal-Database-7,Desktop,Sales,Staging,owner30@example.com,HIGH,70,False,RHEL 8,2026-08-07T16:35:38.249549
AST-00008,HR-CloudVM-8,Desktop,Operations,Development,owner11@example.com,LOW,20,False,Windows Server 2022,2026-08-04T13:22:38.249549
AST-00009,Engineering-Database-9,Container,Legal,Production,owner15@example.com,LOW,20,False,RHEL 8,2026-08-04T06:46:38.249549
AST-00010,HR-Container-10,Database,Customer Support,Staging,owner26@example.com,MEDIUM,45,False,Amazon Linux 2,2026-08-07T20:18:38.249549
AST-00011,HR-CloudVM-11,Application,Operations,Staging,owner24@example.com,LOW,20,True,Windows Server 2019,2026-08-07T00:15:38.249549
AST-00012,Legal-Laptop-12,Desktop,HR,Development,owner11@example.com,MEDIUM,45,False,macOS Sonoma,2026-08-07T13:33:38.249549
AST-00013,Sales-NetworkDevice-13,Cloud VM,Operations,Production,owner8@example.com,MEDIUM,45,False,Ubuntu 22.04,2026-08-04T05:18:38.249549
AST-00014,Finance-CloudVM-14,Application,HR,Staging,owner1@example.com,HIGH,70,False,Ubuntu 22.04,2026-08-04T17:29:38.249549
AST-00015,HR-Desktop-15,Cloud VM,Legal,Development,owner33@example.com,CRITICAL,95,False,Windows Server 2019,2026-07-30T22:19:38.249549
AST-00016,Operations-Laptop-16,Container,Sales,Production,owner8@example.com,MEDIUM,45,False,Ubuntu 22.04,2026-08-06T18:16:38.249549
AST-00017,Operations-Desktop-17,Desktop,Customer Support,Staging,owner5@example.com,LOW,20,False,Windows Server 2019,2026-08-05T20:36:38.249549
AST-00018,Operations-Server-18,Cloud VM,Operations,Development,owner28@example.com,LOW,20,False,Windows Server 2022,2026-08-03T04:35:38.249549
AST-00019,Customer Support-Container-19,Network Device,Operations,Staging,owner8@example.com,HIGH,70,False,Windows 11,2026-08-04T01:25:38.249549
AST-00020,Operations-Database-20,Database,Finance,Production,owner4@example.com,LOW,20,False,Windows 10,2026-08-01T21:44:38.249549
AST-00021,Operations-Database-21,Cloud VM,Customer Support,Staging,owner14@example.com,HIGH,70,False,Amazon Linux 2,2026-08-07T19:02:38.249549
AST-00022,Legal-Application-22,Database,Finance,Production,owner28@example.com,LOW,20,False,macOS Sonoma,2026-08-03T05:13:38.249549
AST-00023,Finance-Desktop-23,Laptop,Sales,Development,owner22@example.com,MEDIUM,45,False,Windows 11,2026-07-31T07:17:38.249549
AST-00024,Operations-NetworkDevice-24,Server,Sales,Production,owner18@example.com,LOW,20,False,Windows 11,2026-08-06T10:26:38.249549
AST-00025,Legal-Desktop-25,Laptop,Customer Support,Development,owner1@example.com,MEDIUM,45,False,Windows Server 2022,2026-07-29T19:10:38.249549
AST-00026,Sales-Database-26,Application,Finance,Production,owner25@example.com,LOW,20,True,macOS Sonoma,2026-08-03T01:46:38.249549
AST-00027,Legal-NetworkDevice-27,Cloud VM,Sales,Development,owner36@example.com,LOW,20,False,Amazon Linux 2,2026-07-30T16:16:38.249549
AST-00028,HR-Laptop-28,Laptop,Customer Support,Staging,owner4@example.com,LOW,20,True,Amazon Linux 2,2026-08-05T05:21:38.249549
AST-00029,Operations-Server-29,Laptop,Operations,Production,owner12@example.com,MEDIUM,45,True,Windows 11,2026-07-29T21:32:38.249549
AST-00030,Sales-Desktop-30,Database,Operations,Development,owner3@example.com,MEDIUM,45,False,macOS Sonoma,2026-08-05T22:09:38.249549
AST-00031,Operations-Container-31,Cloud VM,HR,Development,owner21@example.com,MEDIUM,45,False,macOS Sonoma,2026-08-02T04:02:38.249549
AST-00032,Engineering-NetworkDevice-32,Container,Legal,Production,owner1@example.com,LOW,20,False,Windows 11,2026-08-01T06:07:38.249549
AST-00033,Operations-CloudVM-33,Server,Engineering,Production,owner16@example.com,LOW,20,False,Windows Server 2019,2026-08-06T04:10:38.249549
AST-00034,Customer Support-CloudVM-34,Laptop,Customer Support,Development,owner20@example.com,MEDIUM,45,False,Windows 11,2026-08-02T10:02:38.249549
AST-00035,Engineering-Desktop-35,Desktop,Customer Support,Development,owner10@example.com,CRITICAL,95,False,Windows Server 2022,2026-08-07T01:42:38.249549
AST-00036,Customer Support-CloudVM-36,Network Device,Engineering,Production,owner6@example.com,HIGH,70,False,Ubuntu 22.04,2026-08-06T06:47:38.249549
AST-00037,Legal-Server-37,Cloud VM,HR,Development,owner29@example.com,LOW,20,False,macOS Sonoma,2026-08-04T19:18:38.249549
AST-00038,Finance-Server-38,Laptop,Legal,Staging,owner38@example.com,MEDIUM,45,False,macOS Sonoma,2026-08-07T07:50:38.249549
AST-00039,Engineering-Laptop-39,Container,HR,Development,owner16@example.com,LOW,20,False,RHEL 8,2026-08-05T02:12:38.249549
AST-00040,Sales-Server-40,Database,Legal,Production,owner12@example.com,HIGH,70,False,Windows 10,2026-07-29T15:31:38.249549
AST-00041,Legal-Application-41,Database,Engineering,Production,owner7@example.com,LOW,20,False,Windows 10,2026-08-04T19:40:38.249549
AST-00042,HR-NetworkDevice-42,Container,Engineering,Production,owner15@example.com,HIGH,70,True,Windows Server 2022,2026-08-06T01:38:38.249549
AST-00043,Legal-Desktop-43,Cloud VM,Engineering,Development,owner33@example.com,MEDIUM,45,False,RHEL 8,2026-08-05T10:18:38.249549
AST-00044,Engineering-Server-44,Cloud VM,Finance,Production,owner39@example.com,CRITICAL,95,False,RHEL 8,2026-08-07T06:53:38.249549
AST-00045,Finance-Application-45,Database,Engineering,Production,owner28@example.com,MEDIUM,45,True,Windows Server 2022,2026-08-02T18:43:38.249549
AST-00046,Customer Support-Container-46,Container,Customer Support,Production,owner20@example.com,MEDIUM,45,False,macOS Sonoma,2026-08-07T19:16:38.249549
AST-00047,Engineering-Server-47,Database,Sales,Development,owner25@example.com,LOW,20,False,Windows Server 2019,2026-07-31T15:59:38.249549
AST-00048,Sales-Laptop-48,Cloud VM,Engineering,Production,owner28@example.com,MEDIUM,45,False,RHEL 8,2026-08-05T04:12:38.249549
AST-00049,Customer Support-Database-49,Network Device,Legal,Development,owner11@example.com,MEDIUM,45,False,Ubuntu 22.04,2026-08-03T13:38:38.249549
AST-00050,Operations-Container-50,Desktop,Legal,Production,owner20@example.com,MEDIUM,45,False,Windows Server 2022,2026-08-01T09:32:38.249549
AST-00051,HR-NetworkDevice-51,Desktop,Sales,Staging,owner37@example.com,LOW,20,True,macOS Sonoma,2026-08-08T01:45:38.249549
AST-00052,HR-Laptop-52,Desktop,Legal,Staging,owner15@example.com,MEDIUM,45,True,Amazon Linux 2,2026-08-05T19:45:38.249549
AST-00053,Legal-Desktop-53,Network Device,HR,Staging,owner34@example.com,LOW,20,False,RHEL 8,2026-08-05T18:20:38.249549
AST-00054,Operations-Application-54,Network Device,HR,Development,owner31@example.com,CRITICAL,95,False,Windows Server 2022,2026-08-03T13:31:38.249549
AST-00055,Legal-NetworkDevice-55,Database,Engineering,Staging,owner5@example.com,HIGH,70,False,Windows Server 2022,2026-08-05T10:39:38.249549
AST-00056,Operations-Desktop-56,Server,HR,Production,owner25@example.com,LOW,20,False,Windows Server 2022,2026-08-04T23:04:38.249549
AST-00057,Engineering-NetworkDevice-57,Application,Finance,Production,owner27@example.com,LOW,20,False,Windows 10,2026-08-03T23:04:38.249549
